"Authors","Author full names","Author(s) ID","Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"Zentgraf S.; Hagedorn P.; König M.","Zentgraf, S. (57750638300); Hagedorn, P. (57202643228); König, M. (8883542500)","57750638300; 57202643228; 8883542500","Multi-requirements ontology engineering for automated processing of document-based building codes to linked building data properties","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144141675&doi=10.1088%2f1755-1315%2f1101%2f9%2f092007&partnerID=40&md5=5acd91a8867e62a02f7cabd178f00f3e","The lifecycle of a building is characterized by precise compliance with regulatory specifications for both traditional planning as well as digital planning methods such as Building Information Modeling (BIM). Currently, this regulatory information is mostly available in the unstructured and non-machine-readable form of guidelines, regulations, and standards. The acquisition and conversion of unstructured data into structured semantic knowledge bases for the use in the BIM processes are increasingly being automated using natural language processing in ongoing research. Since ontologies provide such techniques that allow raw data to be formally transformed into domain knowledge, in this paper an ontology is developed based on the data format for data catalogs, properties, and groups of properties described in the ISO 23386. The contribution of this paper is a systematic requirements analysis based on existing literature, standardization, and existing ontologies and the implementation of an ontology accordingly. Applied to a feature of interest, an exemplary property validation using the SPARQL Protocol and RDF Query Language (SPARQL) and generated Shapes and Constraint Language (SHACL) shapes is performed to show how the collected data can be used for automatic constraint checking. © Published under licence by IOP Publishing Ltd.","",""
"Cassandro J.; Mirarchi C.; Zanchetta C.; Pavan A.","Cassandro, Jacopo (58701117500); Mirarchi, Claudio (57205025848); Zanchetta, Carlo (57193789112); Pavan, Alberto (56704637900)","58701117500; 57205025848; 57193789112; 56704637900","ENHANCING ACCURACY IN COST ESTIMATION: STRUCTURED COST DATA INTEGRATION AND MODEL VALIDATION","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213693439&doi=10.36680%2fj.itcon.2024.058&partnerID=40&md5=36e6234cfc56948ae62f9f95e73c49e0","Cost estimation for tendering is one of the leading causes of legal disputes in the architecture, engineering, construction, and facilities management (AEC/FM) industry. To date, there are no standardized procedures for verifying cost estimation accuracy. The association between cost data and geometric model objects is currently done manually, leading to time losses and inaccuracies in cost estimates. This study defines a new architecture for cost items within the Industry Foundation Classes (IFC) data model to ensure structured cost data, which is currently expressed in unstructured natural language. It encompasses the definition of a cost domain in IFC, potential relationships it may have with an IFC geometric information model, and the validation of these relationships through semi-automated verification procedures of structured data (geometric-cost). A specific case study, focused on a structural IFC model, is examined to assess current and future applications. Additionally, rules for BIM information requirements will be defined through the Information Delivery Specification (IDS) to ensure clear understanding for both humans and computers. This will specify which data must be included in the geometric model to ensure validation and verification of the uniqueness of associated cost data. The results demonstrate the feasibility of defining structured cost elements in IFC and verifying their association with geometric data to ensure coherence and uniqueness in cost estimation. © 2024 The author(s).","AEC/FM; BIM; compliance checking; cost item; cost ontology; IFC; Information Delivery Specification (IDS)","Computational cost; Cost accounting; Cost benefit analysis; Cost engineering; Data accuracy; Model checking; Natural language processing systems; Ontology; Architecture engineering; Architecture management; Compliance checking; Construction management; Cost items; Cost ontology; Engineering constructions; Engineering management; Facilities management; Industry foundation class; Information delivery; Information delivery specification; Ontology's; Cost estimating"
"Schuk V.; Pombo Jiménez M.E.; Martin U.","Schuk, V. (57211624643); Pombo Jiménez, M.E. (59570592700); Martin, U. (7102008474)","57211624643; 59570592700; 7102008474","Technical specifications to meet the requirements of an Automatic Code Compliance Checking tool and current developments in infrastructure construction","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138994306&doi=10.1016%2fj.rineng.2022.100650&partnerID=40&md5=5f2a284704c0d1ecc9868e32a20a4f85","Building Information Modeling has revolutionized the construction industry by, for example, contributing to the automation of different activities related to the design, planning, and construction of civil works. Tasks such as the review of construction-related codes and regulations, which today still require a great deal of human effort, have begun to be automated through the development of digital applications and tools, thus resulting in the BIM use case Automated Code Compliance Checking (ACCC). So far, however, the research and development around this topic have been focused mainly on the building area, leaving a gap for the infrastructure sector. With this article, the authors intend to contribute to closing this gap, by providing an overview of the current state of development of ACCC tools in infrastructure construction. This overview supports the identification of challenges and requirements for the development of such tools, which are also discussed in detail in the current work. Finally, the author's considerations regarding the formalization and structuring of the engineering knowledge and infrastructure data required for the development of ACCC tools, as well as its mapping in a graph database, which allows access to all the necessary and relevant information for the code checking process, are presented. The result of the research carried out is the detailed structuring of the regulations and their rules from infrastructure construction and the possible modeling implementation in a graph database. In practice, this should help the leading software manufacturers in cooperation with infrastructure engineers, to develop a full-fledged ACCC tool. © 2022 The Authors","Automatic Code Compliance Checking; BIM; Classification of regulation rules; Formalization of engineering knowledge; Graph-based data modeling; Structured infrastructure data","Architectural design; Automation; Compliance control; Construction industry; Graphic methods; Automatic code compliance checking; Automatic codes; BIM; Classification of regulation rule; Code compliance; Compliance checking; Engineering knowledge; Formalisation; Formalization of engineering knowledge; Graph-based; Graph-based data modeling; Structured infrastructure data; Graph Databases"
"Kim D.; Kim I.","Kim, Dongyoung (59345828200); Kim, Inhan (7404143715)","59345828200; 7404143715","Developing a Preliminary Framework for BIM-Enabled Code Checking of Refuge Area in Korean Law","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205112788&doi=10.1007%2f978-3-031-71013-1_4&partnerID=40&md5=8ed4b3da44bdaff6116340905ee63915","Building Information Modeling (BIM)-based code checking stands out as a promising area that seeks to automate the translation of building regulations into programmable criteria. Nonetheless, the translation process still faces significant challenges of integrating natural language regulations into a form that computers can process. This gap necessitates manual data entry by users, introducing a bottleneck that undermines the efficiency and user experience of BIM-based code checking systems. This study aimed to develop an algorithm using BIM to automatically identify the presence or absence of refuge areas in high-rise buildings. In order to do so, the author analyzed the hierarchy of building acts to identify the property information that is essential for deter-mining refuge areas. Using property information such as space classification codes, non-combustible materials, fire-resistant structures, special escape stairs, and emergency elevators, a rule-based algorithm was proposed to assess code compliance. The algorithm enables the automatic identification and assessment of refuge areas in BIM models, opening up the possibility of automating regulatory review during the building permit stage. These results show how BIM technology can be used to significantly improve the accuracy of code checking, reducing the workload and potential for human error during the building permit stage. Therefore, this study shows that BIM-based code checking will be a key contribution to improving the overall quality of construction projects. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Automated Rule Checking; BIM (Building Information Modelling); Building Code; Building Permit; Code Compliance Checking","Building codes; Concretes; Elevator codes; Model buildings; Mortar; Reviews; Automated rule checking; Building information modeling; Building Information Modelling; Building permits; Code compliance; Code compliance checking; Compliance checking; Model-based OPC; Property; Refuge areas; Tall buildings"
"Makisha E.","Makisha, Elena (57212139102)","57212139102","Features of Regulation Document Translation into a Machine-Readable Format within the Verification of Building Information Models","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163580772&doi=10.3390%2fcivileng4020022&partnerID=40&md5=847cd796c75e4f38a6be03663b822442","The transition to a design based on information modeling has paved the way for automated verification of project documentation. The most complicated type of design documentation check is the assessment of compliance with the requirements of regulatory documents since its automation requires the translation of statements written in natural language into a machine-readable format. At the same time, building codes and regulations should be suitable for translation into machine-readable form. However, a large number of provisions presented in regulatory documents cannot be subjected to automated verification due to their specific features. This study aimed to analyze the suitability of the regulatory provisions to be translated into a machine-readable format, identify limiting factors, and establish recommendations to avoid these factors. This study was conducted based on the example of the code of rules for “Residential Apartment Buildings” (SP 54.13330.2016) applied in the Russian Federation. During the research, a previously developed algorithm that generates rules for checking building information models and is based on the RuleML language was applied to the provisions of the standard above to identify statements that can and cannot be translated. As a result, 356 statements were received, which were divided into five groups: requirements suitable for translation into a machine-readable format, requirements containing links to other documents (regulatory and not only), requirements of uncertain interpretation, requirements that cannot be verified based on an information model, and informative requirements. For the first group of statements, there were examples given for both the statements and the rules derived from them. For the other four groups, examples of statements were supplied with factors preventing the translation of requirements into a machine-readable format and solutions on how to avoid these factors. An analysis of the distribution of statements (related to the above-mentioned groups) by sections of the standard showed that a significant part of the requirements is suitable for translation into a machine-readable format. The possible obstacles to translation can be overcome by attracting experts and using programming tools. The paper also makes recommendations on how to arrange new standard structures. © 2023 by the author.","BIM; building codes; design assessment; design guides; logic rule; rule checking",""
"Karmakar A.; Delhi V.S.K.","Karmakar, Ankan (57225184134); Delhi, Venkata Santosh Kumar (55358485100)","57225184134; 55358485100","Requirements of Machine Learning and Semantic Enrichment for BIM-Based Automated Code Compliance Checking: A Focus Group Study","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174689499&doi=10.1007%2f978-3-031-35399-4_6&partnerID=40&md5=61b33091f507589b95f7d401ee192511","Several regulations, standards, and requirements govern the lifecycle of the built environment. Such instances include legislations, government development control rules, environmental compliances, project and contractual requirements, and performance standards to be followed during construction. Compliance checking is a complex task that is often conducted manually, making it a resource-intensive, error-prone, and time-consuming affair. Past researchers have worked on methods and processes of automated compliance checking systems (ACCS); however, there has been a negligible adaptation in the industry. To this end, this study tries to recognize the reasons for the gap in the implementation of the pre-construction permit compliance systems in the Indian construction industry. The study understands the reasons from the end-user’s perspective through the means of a focus group study. Key findings indicate manual pre-processing of data is a significant hurdle in Building Information Models (BIM) for application in ACCS. ACCS applications developed are restricted in their area of usage due to the limitation in applicability beyond explicit building code clauses. Rule-based validation of regulation requires enriched structured data, which is generally absent from the models developed by architects in the design phase. The study indicates the necessity of automated data pre-processing step that includes intelligent model filling suggestions and semantic enrichment to increase the adoption of ACCS. This study points out that automatic semantic enrichment (SE) can be achieved by applying machine learning (ML). Areas of application of SE in ACCS are identified in the study, which can enhance the industry’s user experience and adaptation of ACCS. © 2024, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Automated Code Compliance Checking; Building Information Modeling; Focus Group Study; Machine Learning; Semantic Enrichment","Architectural design; Automation; Compliance control; Construction industry; Data handling; Information theory; Life cycle; Semantics; Automated code; Automated code compliance checking; Automated compliance checking; Building Information Modelling; Code compliance; Compliance checking; Focus group studies; Machine-learning; Model-based OPC; Semantic enrichment; Machine learning"
"Al-Maabreh O.; Hoque M.; Lee Y.; Lee K.; Ghannad P.","Al-Maabreh, Osama (58864546200); Hoque, Misbah (57804705600); Lee, Yongcheol (56402166700); Lee, Kisung (55759077400); Ghannad, Pedram (57202537869)","58864546200; 57804705600; 56402166700; 55759077400; 57202537869","Revealing Inherent Rules and Validation Frameworks for Evaluating BIM Data Regarding Disaster- and Resilience-Related Regulations","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184085250&doi=10.1061%2f9780784485248.127&partnerID=40&md5=9560bd29aadf862504414ea655669317","Multi-layered and cross-referred disaster resilience regulations and building codes have been a critical obstacle to holistically evaluating long-term resilience of a residential building according to various disaster scenarios. This challenge is caused and worsen by the primary knowledge gap, which is the lack of integrated and executable regulatory rules and specifications related to disaster resilience. To tackle this issue, the authors have identified fundamental resilience rules and built a disaster resilience validation framework that incorporates formalized, but implementable resilience requirements. To accomplish this goal, we thoroughly investigated multi-layered flood-related regulations and revealed their inherent rules for validating the disaster resilience of a single-family house. We identified 42 resilience-related rules and developed them in an implementable format using the eXtensible Markup Language (XML) schema for broadly disseminating them to related domains. The rules include the flood resilience features dealing with lowest floor elevation and freeboard requirements, openings of building walls, breakaway walls for elevated buildings, and obstruction-free buildings in coastal areas. The revealed rules play a pivotal role as a foundational baseline to establish a web-based automated validation system that can assist the public to evaluate building information modelling data. The proposed approach is expected to help logically assess the resilience of buildings and consistently share their updated regulations. © ASCE 2023.All rights reserved.","Automated Rule Checking; BIM; Code Compliance Checking; Disaster Resilience; Flood Disaster Rules","Architectural design; Building codes; Codes (symbols); Compliance control; Disasters; Hypertext systems; Walls (structural partitions); XML; Automated rule checking; BIM; Code compliance; Code compliance checking; Compliance checking; Disaster resiliences; Flood disaster; Flood disaster rule; Multi-layered; Residential building; Floods"
"Venkatesh P.; Ergan S.","Venkatesh, Poornachandra (58651263000); Ergan, Semiha (55220455300)","58651263000; 55220455300","Classification of Challenges in Achieving BIM-Based Safety-Requirement Checking in Vertical Construction Projects","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174294575&doi=10.1061%2fJCEMD4.COENG-13119&partnerID=40&md5=c7131bd89a7fe18a026ac8bbe332f6f4","Due to the one-off nature of projects, which necessitates setting up of unique production sites, the construction industry requires stringent requirements for safety of the workforce and the public around job sites. Although there are various federal (e.g., OSHA) and local safety regulations (e.g., NYC Department of Buildings codes) to keep construction sites safe and incident free, around 20% of work fatalities in the private industry have been from the construction industry in the past years. Within the current practice, the requirements listed in these regulations are kept within document-based safety plans. The challenge is the large number of safety requirements to be checked with more than 1,000 sections and multiple narratives under each. Given this, the manual approach fails in tracking whether these requirements are properly considered in safety plans, hence resulting in omissions and accidents/incidents due to inadequate implementations of safety requirements. Although automated safety compliance-checking coupled with building information modeling (BIM) has been an opportunity to bring efficiency to the process, there are several challenges that stand in the way of the ideal practice. This research provides the results of rigorous research conducted with the guidance of practitioners in the construction safety and insurance domain, and analysis and implementation of OSHA Part 1926 narratives using model-based checking tools. The results have been consolidated and presented as a taxonomy of challenges along with potential solutions to these challenges. Researchers and practitioners (software vendors, construction companies, regulators) can build on the outcomes to generate solutions to address these challenges.  © 2023 American Society of Civil Engineers.","Automated inspection; Building information model (BIM); Department of Buildings (DOB); Model-based safety; Occupational Safety and Health Administration (OSHA); Safety regulations","Accident prevention; Architectural design; Compliance control; Information theory; Occupational risks; Automated inspection; Building information model; Building Information Modelling; Department of building; Model-based OPC; Model-based safety; Occupational safety and health administration; Occupational safety and health administrations; Safety regulations; Safety requirements; Construction industry"
"Zou Y.; Guo B.H.W.; Papadonikolaki E.; Dimyadi J.; Hou L.","Zou, Yang (57072337800); Guo, Brian H. W. (56602167900); Papadonikolaki, Eleni (56367767700); Dimyadi, Johannes (57193080675); Hou, Lei (55729885900)","57072337800; 56602167900; 56367767700; 57193080675; 55729885900","Lessons Learned on Adopting Automated Compliance Checking in the AEC Industry: A Global Study","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158999554&doi=10.1061%2fJMENEA.MEENG-5051&partnerID=40&md5=376e8342f81bc745bd5deded222d7cea","Over the last decades, numerous automated compliance checking (ACC) systems have been developed. However, ACC is still not broadly used in the architecture, engineering, and construction (AEC) industry today; little is known as to how ACC can be better accepted by the end users. This paper reports on a multicase study to learn valuable lessons from recent attempts to adopt ACC systems worldwide. Firstly, 18 semistructured interviews were conducted with 20 experts from eight countries, and supplementary data (e.g., documents, product information, and literature) related to each case were collected. Secondly, the interview and supplementary data were then coded to develop prominent themes. Thirdly, through a cross-case analysis, the 12 most determining variables that could influence the ACC adoption were identified. Three path models that explain the interrelationships between these variables and 10 propositions that can guide future ACC adoption were deduced. The results indicate that the government should play an important role to facilitate ACC adoption through funding, policies, and incentives. This study also provides valuable information to software vendors for delivering ACC systems that meet the needs of the industry, and for innovation managers in the industry to develop appropriate adoption plans for the ACC technology. © 2023 American Society of Civil Engineers.","Automated compliance checking (ACC); Building information modeling (BIM); Case study; Construction; Technology adoption","Architectural design; Automation; Behavioral research; Architecture engineering; Automated compliance checking; Building information modeling; Building Information Modelling; Case-studies; End-users; Learn+; Supplementary data; Technology adoption; Compliance control"
"Purushotham N.; Kailashnath C.; Mutis I.","Purushotham, Nishanth (58867366900); Kailashnath, Chethan (58867563900); Mutis, Ivan (8844144500)","58867366900; 58867563900; 8844144500","Towards an Intelligent Automated Building Code Compliance System","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184286900&doi=10.1061%2f9780784485224.007&partnerID=40&md5=8385e686c222a6145078d69684cd048e","An automated intelligent building code compliance methodology using a flexible and adaptable BIM authoring tool is presented. The method is designed to use minimal computing resources in different contexts of code applications. The innovation utilizes the complete corpus of the building code as input for compliance checking. Current research developments use specific sections of the code that focus only on parts of the building code without making inferences to subsections or other building codes. The approach uses natural language processing techniques to generate an easy-To-process output [simplified comma-separated value (CSV) file] for rapid interpretation and further manipulation for review and modifications of the generated ruleset, thereby increasing the accuracy of the rule when needed. Simultaneously, the approach prevents the recreation of rulesets when inferred sections were previously generated, to ensure the integrity of IBC sections and subsections structure. This paper presents the data extraction and processing approach that generates computer-readable rules using building code paragraphs. Future work will incorporate methods to fully process tables and figures to generate a comprehensive check and inference in compliance. © International Conference on Computing in Civil Engineering 2023.All rights reserved.","","Architectural design; Building codes; Compliance control; Intelligent buildings; Natural language processing systems; 'current; Authoring tool; Automated buildings; Code compliance; Compliance checking; Computing resource; Language processing techniques; Natural languages; Process output; Research development; Data handling"
"Zech P.; Burger P.; Hammes S.; Geisler-Moroder D.; Breu R.","Zech, Philipp (35933646100); Burger, Peter (59465950300); Hammes, Sascha (57219328286); Geisler-Moroder, David (26427633200); Breu, Ruth (55885332900)","35933646100; 59465950300; 57219328286; 26427633200; 55885332900","BIMReason: Validating BIM model correctness","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211501666&doi=10.1002%2fbapi.202400035&partnerID=40&md5=00bc7f47694824a4edef6251d235a853","Compliance inspections and building analysis are critical to the success of any construction project. At present, such assessments are primarily conducted manually by experts in the architecture, engineering and construction (AEC) sector resulting in a tedious, labor-intensive, and generally inefficient undertaking. Yet, with the gradual adoption of Building Information Modeling (BIM), automated building analysis and compliance checking become feasible. The Industry Foundation Classes (IFC) has received a lot of traction in the AEC industry as a vendor-neutral data model. Its well-defined semantics can be exploited by reasoning engines that allow for semantic reasoning on building models, the core mechanism required for automated compliance checking and building analysis. In this paper, a general-purpose model checking framework for IFC building models, as well as an appropriate specification layout are introduced. Model checking via semantic reasoning is realized using various technologies from the Semantic Web. To present and evaluate our implementation, a sample specification is developed and tested on two IFC building models. © 2024 Ernst & Sohn GmbH.","BIM; model checking; model correctness; reasoning",""
"Zhang J.; Cui B.; Gao Y.; Zhang D.","Zhang, Jinyue (12790557500); Cui, Bing (58529348500); Gao, Ying (56252456100); Zhang, Daxin (54080739100)","12790557500; 58529348500; 56252456100; 54080739100","Factors Influencing the Acceptance of BIM-Based Automated Code Compliance Checking in the AEC Industry in China","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167435171&doi=10.1061%2fJMENEA.MEENG-5344&partnerID=40&md5=71e8de6a9cbc6c4f93a4ce8eddc79969","With the rapid development of building information modeling (BIM) and Industry Foundation Classes, BIM-based automated code compliance checking (ACCC) has long been desired by the architecture, engineering, and construction (AEC) industry. Numerous studies on the technological issues of BIM-based ACCC have been conducted over the past decade, but no studies have focused on the acceptance of BIM-based ACCC by the AEC industry. Understanding how the industry views BIM-based ACCC and the factors that influence the industry's perception will give a clear direction to research, development, and application of this process in both technological and managerial areas. To fill the gap, this study used a hybrid approach that incorporates Decision-Making Trial and Evaluation Laboratory and Interpretative Structural Modeling methods to study the factors influencing the acceptance of BIM-based ACCC in the AEC industry in China in terms of five different dimensions (technology, organization, individual, environment, and economy) to reveal the importance of each factor and the interaction among factors. Data in this study were collected from both the design sector and the construction sector. Similarities and differences in attitudes toward BIM-based ACCC in firms in the two sectors are fully addressed and compared, and suggestions to encourage better acceptance and adoption of BIM-based ACCC in each of these sectors are provided. © 2023 American Society of Civil Engineers.","","Architectural design; Compliance control; Decision making; Architecture engineering; Automated code; Building Information Modelling; Code compliance; Compliance checking; Industry Perceptions; Industry views; Information industry; Model-based OPC; Research applications; Construction industry"
"de Marco G.; Slongo C.; Siegele D.","de Marco, Giancarlo (59234141500); Slongo, Cinzia (57195938488); Siegele, Dietmar (57188715988)","59234141500; 57195938488; 57188715988","Enriching Building Information Modeling Models through Information Delivery Specification","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199636466&doi=10.3390%2fbuildings14072206&partnerID=40&md5=3711e2aa68f1905e469eaf65ed22d9b5","The efficient acquisition and dissemination of information are crucial in building information modeling (BIM). Current BIM models face significant challenges, including inadequate modeling techniques, poorly defined information requirements, and low interoperability. These issues result in poor information quality and complicate the transition from information acquisition to model processing. Public authorities often provide documentation in various formats, requiring manual transfer to software, which is error-prone and burdensome. This process is particularly difficult for small and medium enterprises lacking resources and knowledge. To address these issues, the IDS (Information Delivery Specification) Collab Tool is under development. This tool aims to automate the import of requirements into authoring software, perform automated compliance checks, and enhance interoperability among stakeholders. It will assist designers in providing accurate information according to requirements through the IDS standard, improving model quality and efficiency from early design stages. Adapting BIM models to specific project requirements and aligning new IDS capabilities with traditional industry practices remain significant challenges. Preliminary evaluations indicate the tool’s potential to significantly improve workflow efficiency and compliance in BIM modeling. However, broader awareness and adoption of the IDS standard are needed. Further research and refinement are essential to fully realize the benefits of digital tools in revolutionizing design and construction practices. © 2024 by the authors.","automated compliance checking; building information modeling; industry foundation classes; information delivery specification; information requirement","Architectural design; Compliance control; Digital devices; Efficiency; Information theory; Interoperability; 'current; Automated compliance checking; Building Information Modelling; In-buildings; Industry foundation class; Information delivery; Information delivery specification; Information requirement; Modelling techniques; Poor information; Specifications"
"Bigdeli S.; Pauwels P.; Verstockt S.; Van de Weghe N.; Merci B.","Bigdeli, Soheila (59359359600); Pauwels, Pieter (36661189900); Verstockt, Steven (35079597400); Van de Weghe, Nico (8973773700); Merci, Bart (6603877485)","59359359600; 36661189900; 35079597400; 8973773700; 6603877485","Semantic Enrichment of a BIM Model Using Revit: Automatic Annotation of Doors in High-Rise Residential Building Models Using Machine Learning","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205835507&doi=10.1007%2fs10694-024-01655-0&partnerID=40&md5=aa8797d89d8e48044ddfacfdaa2b9ee6","This study explores the potential of automated fire safety conformity checks using a BIM tool. The focus is on travel distance regulations, one of the major concerns in building design. Checking travel distances requires information about the location of exits. Preferably, the Building Information Model (BIM) of the building should contain such information, and if not, user input can be requested. However, a faster, yet still reliable and accurate, methodology is strived for. Therefore, this study presents an automated solution that uses machine learning to add the required semantics to the building model. Three algorithms (Bagged KNN, SVM, and XGBoost) are evaluated at a low Level of Detail (LOD) BIM models. With precision, recall, and F1 scores ranging from 0.87 to 0.90, the model exhibits reliable performance in the classification of doors. In a validation process with two separate sample buildings, the models accurately identified all ’Exits’ in the first building with 94 samples, with only 5 to 6 minor misclassifications. In the second building, all models- with the exception of the SVM - correctly classified every door. Despite their theoretical promise, oversampling techniques do not enhance the results, indicating their inherent limitations. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","Automated code compliance checker; Building information model; Fire safety codes; Machine learning; Semantic enrichment","Adversarial machine learning; Architectural design; Building codes; Fireproofing; Tall buildings; Automated code; Automated code compliance checker; Automatic annotation; Building Information Modelling; Code compliance; Fire safety codes; High rise residential building; Machine-learning; Semantic enrichment; Travel distance; Doors"
"Zhou Y.; She J.; Huang Y.; Li L.; Zhang L.; Zhang J.","Zhou, Yilun (57748117400); She, Jianjun (56263213100); Huang, Yixuan (57748769000); Li, Lingzhi (57196180706); Zhang, Lei (59814846700); Zhang, Jiashu (57748117500)","57748117400; 56263213100; 57748769000; 57196180706; 59814846700; 57748117500","A Design for Safety (DFS) Semantic Framework Development Based on Natural Language Processing (NLP) for Automated Compliance Checking Using BIM: The Case of China","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132147787&doi=10.3390%2fbuildings12060780&partnerID=40&md5=7870dc236bb26a9eaaa7e86aedd21baf","For design for safety (DFS), automated compliance checking methods have received extensive attention. Although many research efforts have indicated the potential of BIM and ontology for automated compliance checking, an efficient methodology is still required for the interoperability and semantic representation of data from different sources. Therefore, a natural language processing (NLP)-based semantic framework is proposed in this paper, which implements rules-based automated compliance checking for building information modeling (BIM) at the design stage. Semantic-rich information can be extracted from safety regulations by NLP methods, which were analyzed to generate conceptual classes and individuals of ontology and provide a corpus basis for rule classification. The data on BIM was extracted from Revit to a spreadsheet using the Dynamo tool and then mapped to the ontology using the Cellfie tool. The interoperability of different source data was well improved through the isomorphism of information in the framework of semantic integration, causing data processed by the semantic web rule language to be transformed from safety regulations to achieve the purpose that automated compliance checking is implemented in the design documents. The practicability and scientific feasibility of the proposed framework was verified through a 95.21% recall and a 90.63% precision in compliance checking of a case study in China. Compared with traditional compliance checking methods, the proposed framework had high efficiency, response speed, data interoperability, and interaction. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","automated compliance checking; building information modeling; design for safety; natural language processing; ontology; semantic web",""
"Zhu S.; Zhou J.; Cheng L.; Fu X.; Wang Y.; Dai K.","Zhu, Simiao (59396247100); Zhou, Jianliang (41763017300); Cheng, Lei (59395998800); Fu, Xuehai (57786824300); Wang, Yan (59395998900); Dai, Kexin (58567487900)","59396247100; 41763017300; 59395998800; 57786824300; 59395998900; 58567487900","Research on a BIM Model Quality Compliance Checking Method Based on a Knowledge Graph","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208174068&doi=10.1061%2fJCCEE5.CPENG-5950&partnerID=40&md5=5088bb1e3e5878b7449fbda9272a8350","With the development of information technology, building information modeling (BIM) is becoming widely used in the construction industry. It is very important to ensure the quality and compliance of BIM models. To solve the problem of time-consuming and laborious traditional checking methods and the limitation that existing software hard coding cannot adapt to rule changes, this paper proposes a BIM model quality compliance checking method based on knowledge graph that can quickly check BIM models through automated checking and ensure the modeling quality of BIM models. Firstly, knowledge extraction for BIM modeling standards and delivery standards is carried out based on knowledge graph technology to structurally represent text. Then, Revit secondary development technology and the C# programming language are adopted to develop a BIM model quality compliance checking system based on the knowledge graph analysis results and the structured query language (SQL) built-in rule knowledge base. Based on the knowledge base, the BIM model is automatically checked for quality compliance, and the naming, material, parameters, and rationality of each professional component are checked. Next, it is checked whether it conforms to the standard. Finally, the model modification plan is provided by checking the problem components and noncompliance details. The case application results show that the BIM model quality compliance checking system developed based on knowledge graph technology can identify defects or errors that do not meet the standards in the model, verify the feasibility and practicability of the system, and provide a new method for BIM designers to modify and improve the model. © 2024 American Society of Civil Engineers.","Automated checking; Building information model; C#; Knowledge graph; Revit secondary development; Rule base","Building Information Model; C (programming language); Query languages; Structured Query Language; Automated checking; Building Information Modelling; C#; Knowledge graphs; Modeling quality; Quality compliance checking; Revit secondary development; Rule basis; Rule changes; Secondary development; Knowledge graph"
"Wu J.; Xue X.; Zhang J.","Wu, Jin (57202516292); Xue, Xiaorui (57218159108); Zhang, Jiansong (55358453700)","57202516292; 57218159108; 55358453700","INVARIANT SIGNATURE, LOGIC REASONING, AND SEMANTIC NATURAL LANGUAGE PROCESSING (NLP)-BASED AUTOMATED BUILDING CODE COMPLIANCE CHECKING (I-SNACC) FRAMEWORK","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160546477&doi=10.36680%2fj.itcon.2023.001&partnerID=40&md5=30bebff843041b3d9b77af867cc11fe5","Traditional manual building code compliance checking is costly, time-consuming, and human error-prone. With the adoption of Building Information Modeling (BIM), automation in such a checking process becomes more feasible. However, existing methods still face limited automation when applied to different building codes. To address that, in this paper, the authors proposed a new framework that requires minimal input from users and strives for full automation, namely, the Invariant signature, logic reasoning, and Semantic Natural language processing (NLP)-based Automated building Code compliance Checking (I-SNACC) framework. The authors developed an automated building code compliance checking (ACC) prototype system under this framework and tested it on Chapter 10 of the International Building Codes 2015 (IBC 2015). The system was tested on two real projects and achieved 95.2% precision and 100% recall in non-compliance detection. The experiment showed that the framework is promising in automating building code compliance checking. Compared to the state-of-the-art methods, the new framework increases the degree of automation and saves manual efforts for finding noncompliance cases. COPYRIGHT: © 2023 The author(s).","Automated Compliance Checking; Building Codes; Building Information Modeling (BIM); Invariant Signature; Logic Reasoning; Natural Language Processing","Building codes; Modeling languages; Natural language processing systems; Automated buildings; Automated compliance checking; Building Code Compliance Checking; Building information modeling; Building Information Modelling; Invariant signature; Language processing; Logic reasoning; Natural language processing; Natural languages; Semantics"
